19	38	1	38	0.2
20	63	2	64	0.21
21	88	1	88	0.22
22	113	1	13	0.23
23	138	2	39	0.24
24	163	3	65	0.25
25	188	2	89	0.26
26	213	2	14	0.27
27	238	3	40	0.28
28	263	4	66	0.29
29	288	3	90	0.3
30	313	3	15	0.31
31	338	4	41	0.32
32	363	5	67	0.33
33	388	4	91	0.34
34	413	4	16	0.35
35	438	5	42	0.36
36	463	6	68	0.37
37	488	5	92	0.38
38	513	5	17	0.39
39	538	6	43	0.4
40	0	1	0	0.41
41	588	6	93	0.42
42	613	6	18	0.43
43	638	7	44	0.44
44	663	7	69	0.45
45	688	7	94	0.46
46	713	7	19	0.47
47	738	8	45	0.48
48	763	8	70	0.49
49	788	9	96	0.5
50	813	8	20	0.51
51	838	9	46	0.52
52	863	10	72	0.53
53	888	10	97	0.54
54	913	9	21	0.55
55	938	11	48	0.56
56	963	11	73	0.57
57	988	11	98	0.58
58	71	4	74	0.59
59	97	5	1	0.6
60	123	2	24	0.61
61	149	1	49	0.62
62	175	2	76	0.63
63	201	2	2	0.64
64	227	2	28	0.65
65	253	1	53	0.66
66	279	2	80	0.67
67	305	1	5	0.68
68	331	2	32	0.69
69	357	1	57	0.7
70	383	2	84	0.71
71	409	1	9	0.72
72	435	2	36	0.73
73	461	1	61	0.74
74	487	18	4	0.75
75	19	4	22	0.76
76	539	12	50	0.77
77	565	13	77	0.78
78	591	16	6	0.79
79	617	9	25	0.8
80	643	10	52	0.81
81	669	10	78	0.82
82	695	14	8	0.83
83	721	6	26	0.84
84	747	8	54	0.85
85	773	9	81	0.86
86	799	12	10	0.87
87	825	5	29	0.88
88	12	1	12	0.89
89	877	6	82	0.9
90	903	28	30	0.91
91	929	5	33	0.92
92	955	2	56	0.93
93	981	5	85	0.94
94	101	34	34	0.95
95	128	10	37	0.96
96	155	4	58	0.97
97	182	5	86	0.98
98	209	52	60	0.99
99	236	27	62	1
0	946	1	46	0.01
1	970	1	70	0.02
2	994	1	94	0.03
3	21	1	21	0.04
4	46	2	47	0.05
5	71	1	71	0.06
6	96	1	96	0.07
7	121	2	22	0.08
